MonoNS,EstNS,MonoS,EstS,AccX,AccY,AccZ,GyroX,GyroY,GyroZ
1876304154757,1876302154757,1876.304154757,1876.302154757,-0.224,0.046,0.976,0.0,0.0,-0.122
1876314214805,1876312214805,1876.314214805,1876.312214805,-0.224,0.046,0.976,0.0,0.0,-0.122
1876324195813,1876322195813,1876.324195813,1876.322195813,-0.224,0.046,0.976,0.0,0.061,-0.122
1876334210070,1876332210070,1876.33421007,1876.33221007,-0.224,0.046,0.976,0.0,0.061,-0.122
1876345193232,1876343193232,1876.345193232,1876.343193232,-0.224,0.046,0.976,0.0,0.061,-0.122
1876355190281,1876353190281,1876.355190281,1876.353190281,-0.224,0.046,0.976,0.0,0.0,-0.122
1876365189080,1876363189080,1876.36518908,1876.36318908,-0.224,0.046,0.976,0.0,0.0,-0.122
1876375207129,1876373207129,1876.375207129,1876.373207129,-0.224,0.046,0.976,0.0,0.0,-0.122
1876386188833,1876384188833,1876.386188833,1876.384188833,-0.224,0.046,0.976,0.0,0.0,-0.122
1876396187049,1876394187049,1876.396187049,1876.394187049,-0.224,0.046,0.976,0.0,0.0,-0.122
1876406195473,1876404195473,1876.406195473,1876.404195473,-0.224,0.046,0.976,0.0,-0.061,-0.122
1876417817377,1876415817377,1876.417817377,1876.415817377,-0.224,0.046,0.976,0.0,-0.122,-0.122
1876427401723,1876425401723,1876.427401723,1876.425401723,-0.224,0.046,0.976,0.0,-0.183,-0.122
1876437283273,1876435283273,1876.437283273,1876.435283273,-0.224,0.046,0.976,0.0,-0.183,-0.122
1876447158824,1876445158824,1876.447158824,1876.445158824,-0.224,0.046,0.976,0.0,-0.122,-0.122
1876457183373,1876455183373,1876.457183373,1876.455183373,-0.224,0.046,0.976,0.0,-0.061,0.0
1876468156910,1876466156910,1876.46815691,1876.46615691,-0.224,0.046,0.976,0.0,0.0,-0.122
1876478156001,1876476156001,1876.478156001,1876.476156001,-0.224,0.046,0.976,0.0,0.0,-0.122
1876488156258,1876486156258,1876.488156258,1876.486156258,-0.224,0.046,0.976,0.0,0.061,-0.122
1876498159432,1876496159432,1876.498159432,1876.496159432,-0.224,0.046,0.976,0.0,0.061,-0.122
1876509155719,1876507155719,1876.509155719,1876.507155719,-0.224,0.046,0.976,0.0,0.061,-0.122
1876519163268,1876517163268,1876.519163268,1876.517163268,-0.224,0.046,0.976,0.0,0.0,-0.122
1876529198525,1876527198525,1876.529198525,1876.527198525,-0.224,0.046,0.976,0.0,0.0,-0.122
1876539149491,1876537149491,1876.539149491,1876.537149491,-0.224,0.046,0.976,0.0,0.0,-0.122
1876550191861,1876548191861,1876.550191861,1876.548191861,-0.224,0.046,0.976,0.0,0.0,-0.122
1876560175202,1876558175202,1876.560175202,1876.558175202,-0.224,0.046,0.976,0.0,-0.061,-0.122
1876570157085,1876568157085,1876.570157085,1876.568157085,-0.224,0.046,0.976,0.0,-0.061,-0.122
